iter	Passed	Remaining
0	149	149207
1	212	106027
2	277	92092
3	313	78069
4	343	68361
5	395	65559
6	432	61329
7	464	57562
8	494	54495
9	509	50398
10	556	50002
11	592	48813
12	641	48697
13	865	60963
14	916	60155
15	1007	61962
16	1093	63213
17	1270	69295
18	1339	69139
19	1363	66819
20	1445	67365
21	1522	67687
22	1572	66816
23	1702	69218
24	1748	68190
25	1885	70649
26	1936	69798
27	1974	68541
28	2020	67652
29	2048	66224
30	2089	65313
31	2118	64095
32	2154	63145
33	2201	62535
34	2245	61912
35	2274	60894
36	2323	60475
37	2355	59643
38	2389	58877
39	2433	58404
40	2501	58518
41	2565	58509
42	2629	58514
43	2662	57858
44	2697	57255
45	2739	56805
46	2767	56107
47	2792	55389
48	2821	54753
49	2863	54404
50	2892	53828
51	2931	53435
52	2993	53493
53	3042	53297
54	3072	52796
55	3111	52449
56	3144	52029
57	3181	51666
58	3219	51349
59	3250	50925
60	3281	50516
61	3319	50215
62	3355	49904
63	3384	49500
64	3422	49233
65	3457	48927
66	3471	48344
67	3502	48006
68	3537	47729
69	3569	47421
70	3602	47137
71	3645	46989
72	3737	47458
73	3824	47862
74	3904	48151
75	3970	48273
76	4024	48240
77	4100	48475
78	4162	48531
79	4212	48444
80	4267	48414
81	4311	48270
82	4352	48090
83	4424	48244
84	4487	48305
85	4537	48220
86	4592	48194
87	4631	47997
88	4667	47777
89	4723	47764
90	4768	47629
91	4821	47590
92	4933	48111
93	5027	48454
94	5071	48310
95	5128	48297
96	5186	48284
97	5239	48225
98	5290	48152
99	5326	47938
100	5362	47735
101	5406	47596
102	5439	47372
103	5471	47137
104	5521	47063
105	5566	46943
106	5618	46889
107	5670	46835
108	5737	46900
109	5805	46974
110	5864	46972
111	5913	46885
112	5983	46968
113	6044	46975
114	6073	46739
115	6115	46601
116	6162	46510
117	6201	46353
118	6244	46229
119	6295	46167
120	6335	46023
121	6380	45919
122	6434	45878
123	6485	45820
124	6533	45734
125	6609	45850
126	6652	45728
127	6688	45567
128	6737	45492
129	6781	45383
130	6822	45259
131	6873	45195
132	6911	45056
133	6947	44900
134	6993	44808
135	7023	44620
136	7054	44438
137	7095	44319
138	7128	44153
139	7161	43993
140	7223	44004
141	7262	43884
142	7331	43938
143	7391	43940
144	7432	43824
145	7475	43725
146	7527	43678
147	7565	43554
148	7603	43425
149	7644	43316
150	7676	43159
151	7711	43020
152	7751	42912
153	7796	42830
154	7838	42731
155	7898	42730
156	7930	42581
157	7962	42434
158	8005	42341
159	8038	42203
160	8072	42067
161	8118	41997
162	8151	41858
163	8182	41710
164	8223	41616
165	8253	41466
166	8285	41329
167	8326	41236
168	8360	41108
169	8398	41004
170	8436	40902
171	8469	40772
172	8508	40675
173	8594	40798
174	8722	41118
175	8807	41234
176	8871	41251
177	8907	41132
178	8939	40999
179	8991	40961
180	9025	40839
181	9061	40726
182	9104	40648
183	9145	40559
184	9183	40457
185	9223	40367
186	9259	40257
187	9292	40135
188	9332	40047
189	9370	39947
190	9403	39827
191	9440	39729
192	9477	39627
193	9507	39498
194	9546	39410
195	9582	39309
196	9614	39189
197	9653	39100
198	9690	39004
199	9722	38891
200	9761	38804
201	9805	38735
202	9901	38875
203	10026	39123
204	10133	39296
205	10226	39414
206	10318	39529
207	10412	39647
208	10537	39879
209	10589	39837
210	10630	39749
211	10667	39652
212	10724	39625
213	10804	39684
214	10872	39697
215	10976	39841
216	11046	39858
217	11109	39852
218	11158	39793
219	11203	39722
220	11251	39659
221	11304	39615
222	11347	39539
223	11392	39467
224	11439	39403
225	11481	39322
226	11522	39237
227	11578	39204
228	11612	39096
229	11653	39013
230	11695	38935
231	11731	38833
232	11771	38750
233	11814	38675
234	11851	38580
235	11887	38483
236	11926	38395
237	11959	38291
238	11996	38197
239	12035	38112
240	12068	38007
241	12107	37921
242	12146	37839
243	12183	37748
244	12219	37656
245	12256	37566
246	12291	37471
247	12324	37372
248	12367	37301
249	12407	37221
250	12442	37129
251	12487	37067
252	12523	36977
253	12558	36885
254	12626	36889
255	12702	36915
256	12753	36869
257	12801	36817
258	12840	36737
259	12877	36650
260	12919	36579
261	12952	36485
262	12989	36400
263	13032	36332
264	13068	36246
265	13105	36163
266	13150	36102
267	13199	36051
268	13250	36008
269	13302	35966
270	13347	35905
271	13389	35836
272	13442	35796
273	13486	35735
274	13527	35663
275	13571	35600
276	13607	35517
277	13639	35422
278	13688	35374
279	13720	35282
280	13754	35192
281	13797	35130
282	13833	35048
283	13865	34955
284	13909	34895
285	13942	34807
286	13977	34724
287	14018	34657
288	14050	34567
289	14083	34479
290	14128	34422
291	14160	34334
292	14198	34259
293	14237	34189
294	14274	34112
295	14311	34039
296	14351	33969
297	14384	33885
298	14425	33819
299	14462	33744
300	14497	33666
